Date,Category,Product,Region,Sales,Units,Profit
2024-01-05,Electronics,Laptop,North,120000,12,18000
2024-01-08,Electronics,Smartphone,South,85000,25,12000
2024-01-12,Furniture,Office Chair,East,32000,40,6000
2024-01-15,Furniture,Desk,West,45000,15,7500
2024-02-02,Electronics,Headphones,North,15000,60,4000
2024-02-10,Clothing,Jacket,South,22000,80,5000
2024-02-18,Clothing,T-Shirt,East,9000,150,2000
2024-03-01,Electronics,Laptop,West,135000,13,20000
2024-03-09,Furniture,Bookshelf,North,18000,20,3200
2024-03-14,Clothing,Jeans,South,25000,90,6000
2024-04-03,Electronics,Smartwatch,East,40000,35,9000
2024-04-11,Furniture,Sofa,West,60000,10,11000
2024-04-20,Clothing,Shoes,North,30000,70,7000
2024-05-06,Electronics,Tablet,South,55000,22,9500
2024-05-15,Furniture,Office Chair,East,28000,35,5200
2024-05-25,Clothing,Jacket,West,24000,85,5300
2024-06-02,Electronics,Smartphone,North,92000,27,13000
2024-06-13,Furniture,Desk,South,48000,18,8000
2024-06-21,Clothing,T-Shirt,East,10000,160,2200
2024-06-29,Electronics,Headphones,West,17000,65,4300
